company_name,company_type,delivery_setting,address,city,state,zip,phone,email,website_url,description,year_founded,employee_count_estimate,revenue_estimate,funding_status,rank_score,positive_signals,exclude_flags,status,verified,notes
PersonalizedMemory Care,psychiatry,multi_setting,,Charlotte,NC,28210,704-438-0687,info@gbh.care,https://www.gbh.care/,"We focus on memory care, geriatric psychiatry, and other senior care services for individuals residing in the community or Assisted Living Facilities in Charlotte, NC.",2011,,unknown,unknown,85,snf-delivery-confirmed; email-found; established-2011,,flagged_for_review,No,
Gerontology Network,psychiatry,multi_setting,4650 W Us Highway 223 Ste A,Adrian,MI,49221,517-226-2588,info@rehabmedia.com,,"Gerontology Network is a geriatric behavioral health practice serving seniors in Adrian, MI.",1992,,unknown,unknown,80,npi-verified group practice; email-found; established-1992; street-address-confirmed,,uncontacted,No,
Healthquest Pc,psychiatry,multi_setting,8130 Country Village Dr,Cordova,TN,38016,901-308-2915,admin@healthquestmemphis.com,https://healthquestmemphis.com/,"HealthQuest,PC specializes in providing mental health treatments, procedures, and counseling services. Visit our website to learn more.",1994,,unknown,unknown,80,npi-verified group practice; email-found; established-1994; street-address-confirmed,,uncontacted,No,
Credence Behavioral Health Pllc,psychiatry,multi_setting,115 Wiggington Rd,Lynchburg,VA,24502,434-253-0212,filler@godaddy.com,https://credencebh.com/,Explore compassionate care at Credence Behavioral Health. Our expert psychiatrists are here to support your mental wellness journey.,2011,,unknown,unknown,80,npi-verified group practice; email-found; established-2011; street-address-confirmed,,uncontacted,No,
PsychoGeriatric Services,psychiatry,snf,,Silver Spring,PA,20904,1301593131,,https://pgs-nhcare.com/,We are mental health professionals who are passionate about behavioral health for our most vulnerable populations.,1994,,unknown,unknown,78,since 19dd; partner facilities; established-1994,,uncontacted,No,
"Bhc- Behavioral Health Consultants, Inc",psychiatry,multi_setting,9525 Katy Fwy,Houston,TX,77024,713-463-9449,,https://bhchouston.com/,"Bhc- Behavioral Health Consultants, Inc is a behavioral health practice serving seniors in Houston, TX.",2010,,unknown,unknown,70,npi-verified group practice; established-2010; street-address-confirmed,,uncontacted,No,
"Cranberry Psychological Center, Inc.",psychiatry,multi_setting,100 Northpointe Cir,Seven Fields,PA,16046,724-772-4848,info@cranberrypsychcenter.com,https://www.cranberrypsychcenter.com/,"Cranberry Psychological Center, Inc. is a behavioral health practice serving seniors in Seven Fields, PA.",,,unknown,unknown,70,npi-verified group practice; email-found; street-address-confirmed,,uncontacted,No,
"Comprehensive Psychiatric Solutions, P.C.",psychiatry,multi_setting,1287 Fulton Rd,,MI,95401,707-800-7700,,,"Comprehensive Psychiatric Solutions, P.C. is a geriatric behavioral health practice serving seniors in MI.",1979,,unknown,unknown,70,npi-verified group practice; established-1979; street-address-confirmed,,uncontacted,No,
Psyche Wellbeing,psychiatry,multi_setting,201 Ne Park Plaza Dr Ste 200,,IL,98684,360-903-1829,billing@psychewellbeing.com,https://www.psychewellbeing.com/,"Psychiatrist nearby I Psyche Wellbeing I Dr. Jovel Viloria-Scarlet, PMHNP I ADHD I Depression I Anxiety I Online/In-person visit I Depression I Bipolar Disorder I Mental Health I Counselor",2024,,unknown,unknown,70,npi-verified group practice; email-found; street-address-confirmed,,uncontacted,No,
S S Behavioral Health Inc,psychiatry,multi_setting,477 E Butterfield Rd Ste 102,Lombard,IL,60148,630-528-3835,ssbehavioralhealth@outlook.com,https://ssbhclinic.com/,"S S Behavioral Health Inc is a behavioral health practice serving seniors in Lombard, IL.",,,unknown,unknown,70,npi-verified group practice; email-found; street-address-confirmed,,uncontacted,No,
